Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,City,Product_Category,Product_Name,Quantity,Unit_Price,Discount (%),Payment_Mode,Channel,Delivery_Days,Return_Status,Rating,Total_Sales,Cost_Price,Profit
O-1000,2024-12-23,C-208,Rahul,Male,Kolkata,Electronics,Monitor,2,390,0,UPI,Website,4,Yes,5,780.0,534.1226193212868,245.87738067871317
O-1001,2024-07-07,C-228,Keerthi,Male,Kolkata,Books,T-shirt,4,3781,10,Credit Card,Mobile App,6,No,4,13611.6,9325.463712330502,4286.136287669498
O-1002,2024-07-27,C-172,Kumar,Male,Mumbai,Sports,Tennis Racket,2,2755,15,Net Banking,Website,1,No,4,4683.5,3310.812857939914,1372.687142060086
O-1003,2024-11-27,C-257,Deepa,Male,Bangalore,Beauty,Novel,5,2086,5,Net Banking,Instagram,3,Yes,3,9908.5,8109.279211269802,1799.2207887301984
O-1004,2025-09-25,C-53,Vikram,Female,Kolkata,Sports,Shoes,4,3959,15,COD,Mobile App,4,No,2,13460.6,10676.182871076466,2784.4171289235346
O-1005,2024-09-05,C-67,Ananya,Male,Hyderabad,Books,Earbuds,3,3544,5,Net Banking,Instagram,5,No,4,10100.4,8323.249998338892,1777.150001661108
O-1006,2024-01-16,C-71,Deepa,Female,Delhi,Books,Mixer,2,1124,20,UPI,Amazon,3,No,4,1798.4,1516.3215137607838,282.0784862392163
O-1007,2024-07-16,C-214,Sneha,Male,Kolkata,Sports,Bag,2,1375,10,Net Banking,Mobile App,2,No,1,2475.0,1700.7644205101585,774.2355794898415
O-1008,2025-01-18,C-82,Arun,Female,Hyderabad,Beauty,Shoes,4,4598,10,UPI,Flipkart,1,No,5,16552.8,11947.416537437735,4605.383462562264
O-1009,2025-07-16,C-117,Vikram,Female,Bangalore,Home,Mixer,2,1123,0,Credit Card,Website,6,No,1,2246.0,1363.701486947268,882.298513052732
O-1010,2024-03-09,C-107,Keerthi,Female,Mumbai,Sports,Tennis Racket,2,1450,15,Debit Card,Instagram,7,Yes,2,2465.0,1709.720752873587,755.2792471264131
O-1011,2024-11-13,C-3,Ananya,Male,Hyderabad,Books,Mixer,5,3924,20,Net Banking,Mobile App,1,Yes,1,15696.0,10867.623858448349,4828.376141551651
O-1012,2025-08-23,C-238,Sneha,Female,Mumbai,Fashion,Mixer,2,951,10,COD,Mobile App,4,No,1,1711.8,1195.0936686822172,516.7063313177828
O-1013,2024-06-09,C-287,Ananya,Male,Mumbai,Sports,Novel,2,1170,5,Debit Card,Amazon,4,Yes,3,2223.0,1864.1931937388936,358.80680626110643
O-1014,2024-03-12,C-43,Ravi,Male,Delhi,Home,Earbuds,1,4913,10,Credit Card,Mobile App,7,Yes,5,4421.7,3339.4582336789126,1082.2417663210872
O-1015,2024-06-23,C-171,Deepa,Male,Chennai,Sports,Shoes,3,2140,10,COD,Flipkart,7,Yes,4,5778.0,4746.228322560859,1031.771677439141
O-1016,2025-02-17,C-199,Sneha,Female,Kolkata,Electronics,Monitor,1,1280,10,COD,Website,1,Yes,4,1152.0,873.3466252939356,278.65337470606437
O-1017,2025-06-30,C-111,Vikram,Female,Delhi,Electronics,Mixer,4,779,20,COD,Flipkart,3,No,5,2492.8,2001.0076643479135,491.79233565208665
O-1018,2024-03-03,C-114,Rahul,Male,Chennai,Electronics,Tennis Racket,4,478,10,Credit Card,Flipkart,4,Yes,3,1720.8,1374.5637034105832,346.2362965894167
O-1019,2025-02-01,C-251,Ravi,Female,Mumbai,Home,Bag,3,2024,15,Credit Card,Amazon,6,No,5,5161.2,3824.3306008953323,1336.8693991046675
O-1020,2025-07-03,C-189,Arun,Male,Delhi,Beauty,T-shirt,2,242,10,Credit Card,Website,7,Yes,5,435.6,378.8211152570877,56.77888474291234
O-1021,2024-11-03,C-263,Arun,Male,Chennai,Sports,Tennis Racket,3,2081,20,Net Banking,Mobile App,7,No,4,4994.400000000001,3708.4532913573553,1285.9467086426453
O-1022,2024-10-14,C-278,Rahul,Female,Mumbai,Books,Novel,5,2588,5,Credit Card,Mobile App,4,Yes,4,12293.0,7464.838538828689,4828.161461171311
O-1023,2024-11-04,C-212,Ananya,Female,Bangalore,Home,Smartwatch,4,1523,15,Credit Card,Instagram,3,No,5,5178.2,3393.624221063355,1784.5757789366448
O-1024,2025-07-27,C-34,Rahul,Male,Chennai,Books,Earbuds,4,4672,20,Net Banking,Mobile App,7,Yes,4,14950.400000000001,12475.118036449094,2475.2819635509077
O-1025,2025-03-08,C-123,Deepa,Male,Hyderabad,Home,Lipstick,2,806,10,Net Banking,Mobile App,3,Yes,1,1450.8,931.6161517519942,519.1838482480058
O-1026,2024-06-03,C-40,Priya,Male,Hyderabad,Electronics,Smartwatch,2,4541,20,COD,Flipkart,1,Yes,3,7265.6,5843.9128802441255,1421.6871197558748
O-1027,2025-04-01,C-7,Ravi,Male,Mumbai,Sports,T-shirt,2,4346,15,COD,Website,2,Yes,3,7388.2,5780.162529479855,1608.0374705201448
O-1028,2025-08-04,C-46,Vikram,Female,Chennai,Home,T-shirt,2,3705,10,UPI,Mobile App,1,No,4,6669.0,5802.9438092402,866.0561907598003
O-1029,2024-08-27,C-260,Priya,Male,Delhi,Fashion,Bag,1,684,10,UPI,Flipkart,4,Yes,2,615.6,464.53510196923787,151.06489803076215
O-1030,2024-10-25,C-98,Ravi,Female,Kolkata,Sports,Bag,2,2693,20,Credit Card,Amazon,7,No,2,4308.8,3069.842119324277,1238.9578806757231
